"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","global_mean","LRscore"
"1","B","B","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.32766130682417,0.199056328661466,0.846705239533711
"2","B","B","MIF","MIF","CD74","CD74",0.910488685785623,4.53114927048177,0.199056328661466,0.910745230281221
"3","B","B","CD48","CD48","CD2","CD2",1.54599795581421,0.163910940299779,0.199056328661466,0.716625943167185
"4","B","B","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.199056328661466,0
"5","B","B","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.534134895138124,0.199056328661466,0.761957830326967
"6","B","B","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.954335724036847,0.199056328661466,0.810555993431426
"7","B","B","LGALS1","LGALS1","CD69","CD69",0.611329574820841,1.0644346189095,0.199056328661466,0.802077515801774
"8","B","B","SEMA4D","SEMA4D","CD72","CD72",0.223094502642178,0.377493402303649,0.199056328661466,0.593146061972944
"9","B","NK","MIF","MIF","CXCR4","CXCR4",0.910488685785623,1.07522147794157,0.199056328661466,0.832513106628476
"10","B","NK","MIF","MIF","CD74","CD74",0.910488685785623,2.18887254872958,0.199056328661466,0.87642185430584
"11","B","NK","CD48","CD48","CD2","CD2",1.54599795581421,0.729939927646468,0.199056328661466,0.842188918923412
"12","B","NK","CD48","CD48","CD244","CD244",1.54599795581421,0.387601899198962,0.199056328661466,0.795453002337013
"13","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.2691842147084,0.182113235170343,0.199056328661466,0.794925385221463
"14","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.48661807632961,0.258151009290912,0.199056328661466,0.82657254093445
"15","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.642471081440022,0.199056328661466,0.864241780730991
"16","B","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",1.38480218778058,0.320318092325787,0.199056328661466,0.769896293852821
"17","B","NK","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.459545030143938,0.199056328661466,0.748049710525832
"18","B","NK","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.838508767564103,0.199056328661466,0.800421637305175
"19","B","NK","LGALS1","LGALS1","CD69","CD69",0.611329574820841,1.06441671175688,0.199056328661466,0.802076180455864
"20","B","NK","LGALS9","LGALS9","HAVCR2","HAVCR2",0.374319606450614,0.320318092325787,0.199056328661466,0.634976075689551
"21","B","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.415304167091577,0.234552940157019,0.199056328661466,0.610581791986968
"22","B","CD8 T","MIF","MIF","CXCR4","CXCR4",0.910488685785623,2.01083647943994,0.199056328661466,0.871753882639508
"23","B","CD8 T","MIF","MIF","CD74","CD74",0.910488685785623,2.35808831742312,0.199056328661466,0.880398173351262
"24","B","CD8 T","CD48","CD48","CD2","CD2",1.54599795581421,1.46083169262766,0.199056328661466,0.883036561648679
"25","B","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",2.82226516207321,0.792108112481271,0.199056328661466,0.882509144527843
"26","B","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",3.22773530291667,0.792108112481271,0.199056328661466,0.889291958415953
"27","B","CD8 T","HLA-DQA1","HLA-DQA1","LAG3","LAG3",2.21652322870323,0.792108112481271,0.199056328661466,0.869393705705554
"28","B","CD8 T","HLA-DQA2","HLA-DQA2","LAG3","LAG3",1.26938854556186,0.792108112481271,0.199056328661466,0.834368042900532
"29","B","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",1.77304458323363,0.792108112481271,0.199056328661466,0.856188583556257
"30","B","CD8 T","HLA-DQB2","HLA-DQB2","LAG3","LAG3",0.127461984229145,0.792108112481271,0.199056328661466,0.61483217107663
"31","B","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",3.92508399703639,0.792108112481271,0.199056328661466,0.898560603847684
"32","B","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",2.77326809792569,0.792108112481271,0.199056328661466,0.881598146810026
"33","B","CD8 T","HLA-DRB5","HLA-DRB5","LAG3","LAG3",1.88372109915287,0.792108112481271,0.199056328661466,0.859876344201412
"34","B","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.49940506611986,0.251176311438171,0.199056328661466,0.799214745397518
"35","B","CD8 T","EBI3_IL27","EBI3","IL27RA_IL6ST","IL27RA",0.162130281769887,0,0.199056328661466,0
"36","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM2","ICAM2",0.760072642284877,0.406658252061046,0.199056328661466,0.736354398666199
"37","B","CD8 T","ITGAL_ITGB2","ITGB2","ICAM3","ICAM3",0.760072642284877,0.84454655344177,0.199056328661466,0.800994097358458
"38","B","CD8 T","LGALS1","LGALS1","CD69","CD69",0.611329574820841,0.649958157863072,0.199056328661466,0.76000086621214
"39","B","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",0.415304167091577,0.21085677859872,0.199056328661466,0.597848216106669
"40","B","CD8 T","CD47","CD47","SIRPG","SIRPG",0.660883773505572,0.326672902590348,0.199056328661466,0.700080419126572
"41","NK","B","FASLG","FASLG","FAS","FAS",0.27283150035115,0.117997956108831,0.199056328661466,0.474066543608995
"42","NK","B","CD86","CD86","CD28","CD28",0.152487467483942,0.116665254727136,0.199056328661466,0.401218099949677
"43","NK","B","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.470846318282549,0.125198274575497,0.199056328661466,0.549494225860438
"44","NK","B","MIF","MIF","CXCR4","CXCR4",1.31632677078381,1.32766130682417,0.199056328661466,0.869131277531388
"45","NK","B","MIF","MIF","CD74","CD74",1.31632677078381,4.53114927048177,0.199056328661466,0.92463651255082
"46","NK","B","CD48","CD48","CD2","CD2",1.2284932202849,0.163910940299779,0.199056328661466,0.692715554834196
"47","NK","B","CD58","CD58","CD2","CD2",0.207224324885753,0.163910940299779,0.199056328661466,0.480753195880698
"48","NK","B","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.251222995315255,0.534134895138124,0.199056328661466,0.647919553629352
"49","NK","B","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.251222995315255,0.954335724036847,0.199056328661466,0.710968080243627
"50","NK","B","LGALS1","LGALS1","CD69","CD69",2.09439999888998,1.0644346189095,0.199056328661466,0.882365383335376
"51","NK","B","SEMA4D","SEMA4D","CD72","CD72",0.200966848869355,0.377493402303649,0.199056328661466,0.580483540124322
"52","NK","B","CD160","CD160","TNFRSF14","TNFRSF14",0.392220447314644,0.471659436820677,0.199056328661466,0.683618830329881
"53","NK","NK","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR2",0.470846318282549,0.160541608425798,0.199056328661466,0.580044143706327
"54","NK","NK","MIF","MIF","CXCR4","CXCR4",1.31632677078381,1.07522147794157,0.199056328661466,0.856663885937358
"55","NK","NK","MIF","MIF","CD74","CD74",1.31632677078381,2.18887254872958,0.199056328661466,0.895039455280428
"56","NK","NK","CD48","CD48","CD2","CD2",1.2284932202849,0.729939927646468,0.199056328661466,0.826305293665885
"57","NK","NK","CD48","CD48","CD244","CD244",1.2284932202849,0.387601899198962,0.199056328661466,0.776115904490138
"58","NK","NK","CD58","CD58","CD2","CD2",0.207224324885753,0.729939927646468,0.199056328661466,0.661457081756571
"59","NK","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.92010525050694,0.182113235170343,0.199056328661466,0.809330126596413
"60","NK","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",4.30320983709084,0.258151009290912,0.199056328661466,0.841141063949268
"61","NK","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",3.0395118502117,0.642471081440022,0.199056328661466,0.875315643702142
"62","NK","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",1.86335662329275,0.320318092325787,0.199056328661466,0.795131111551444
"63","NK","NK","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.251222995315255,0.459545030143938,0.199056328661466,0.630578902296733
"64","NK","NK","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.251222995315255,0.838508767564103,0.199056328661466,0.697494498386584
"65","NK","NK","LGALS1","LGALS1","CD69","CD69",2.09439999888998,1.06441671175688,0.199056328661466,0.882364510230926
"66","NK","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.931933919326705,0.234552940157019,0.199056328661466,0.701381217092248
"67","NK","NK","CD160","CD160","TNFRSF14","TNFRSF14",0.392220447314644,0.658465102896479,0.199056328661466,0.718549891247097
"68","NK","CD8 T","FASLG","FASLG","FAS","FAS",0.27283150035115,0.150088932642222,0.199056328661466,0.504113245451463
"69","NK","CD8 T","CD86","CD86","CD28","CD28",0.152487467483942,0.206915939538784,0.199056328661466,0.471558155047723
"70","NK","CD8 T","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.470846318282549,0.31265064799773,0.199056328661466,0.658411033723416
"71","NK","CD8 T","MIF","MIF","CXCR4","CXCR4",1.31632677078381,2.01083647943994,0.199056328661466,0.890987261389226
"72","NK","CD8 T","MIF","MIF","CD74","CD74",1.31632677078381,2.35808831742312,0.199056328661466,0.898486110646152
"73","NK","CD8 T","CD48","CD48","CD2","CD2",1.2284932202849,1.46083169262766,0.199056328661466,0.870632705910604
"74","NK","CD8 T","CD58","CD58","CD2","CD2",0.207224324885753,1.46083169262766,0.199056328661466,0.734328074122931
"75","NK","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",0.775503410706296,0.792108112481271,0.199056328661466,0.797463716879408
"76","NK","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",0.937960710419957,0.792108112481271,0.199056328661466,0.812389992566972
"77","NK","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",0.137859205055308,0.792108112481271,0.199056328661466,0.624074216023957
"78","NK","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",0.650927750489569,0.792108112481271,0.199056328661466,0.782953285318283
"79","NK","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",0.400637425657735,0.792108112481271,0.199056328661466,0.738905865733537
"80","NK","CD8 T","HLA-DRB5","HLA-DRB5","LAG3","LAG3",0.171691074077652,0.792108112481271,0.199056328661466,0.64944703809879
"81","NK","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",3.0395118502117,0.251176311438171,0.199056328661466,0.814454106330549
"82","NK","CD8 T","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.251222995315255,0.406658252061046,0.199056328661466,0.616228194580752
"83","NK","CD8 T","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.251222995315255,0.84454655344177,0.199056328661466,0.698250890847413
"84","NK","CD8 T","LGALS1","LGALS1","CD69","CD69",2.09439999888998,0.649958157863072,0.199056328661466,0.854255762388691
"85","NK","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",0.931933919326705,0.21085677859872,0.199056328661466,0.69010980041239
"86","NK","CD8 T","CD160","CD160","TNFRSF14","TNFRSF14",0.392220447314644,0.294117449009172,0.199056328661466,0.630488666501354
"87","NK","CD8 T","CD47","CD47","SIRPG","SIRPG",0.96402498162402,0.326672902590348,0.199056328661466,0.738164537073488
"88","NK","CD8 T","LGALS3","LGALS3","LAG3","LAG3",0.150620772291535,0.792108112481271,0.199056328661466,0.634400901793497
"89","CD8 T","B","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.178455210168272,0.125198274575497,0.199056328661466,0.42886836631811
"90","CD8 T","B","MIF","MIF","CXCR4","CXCR4",1.02395852458354,1.32766130682417,0.199056328661466,0.854173270847908
"91","CD8 T","B","MIF","MIF","CD74","CD74",1.02395852458354,4.53114927048177,0.199056328661466,0.915405141291405
"92","CD8 T","B","CD48","CD48","CD2","CD2",1.72764494619042,0.163910940299779,0.199056328661466,0.727768659724682
"93","CD8 T","B","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.253758341654867,0.534134895138124,0.199056328661466,0.649064025921012
"94","CD8 T","B","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.253758341654867,0.954335724036847,0.199056328661466,0.711998705660993
"95","CD8 T","B","LGALS1","LGALS1","CD69","CD69",0.882561078535798,1.0644346189095,0.199056328661466,0.829618467581257
"96","CD8 T","B","SEMA4D","SEMA4D","CD72","CD72",0.213600712045173,0.377493402303649,0.199056328661466,0.587888393974214
"97","CD8 T","B","CD160","CD160","TNFRSF14","TNFRSF14",0.353622781658967,0.471659436820677,0.199056328661466,0.672311019436763
"98","CD8 T","NK","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR2",0.178455210168272,0.160541608425798,0.199056328661466,0.459552963401339
"99","CD8 T","NK","MIF","MIF","CXCR4","CXCR4",1.02395852458354,1.07522147794157,0.199056328661466,0.840542324747304
"100","CD8 T","NK","MIF","MIF","CD74","CD74",1.02395852458354,2.18887254872958,0.199056328661466,0.882642844561539
"101","CD8 T","NK","CD48","CD48","CD2","CD2",1.72764494619042,0.729939927646468,0.199056328661466,0.849431670520287
"102","CD8 T","NK","CD48","CD48","CD244","CD244",1.72764494619042,0.387601899198962,0.199056328661466,0.804342387242528
"103","CD8 T","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",3.78020642123131,0.182113235170343,0.199056328661466,0.806510463773468
"104","CD8 T","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",3.9256341261188,0.258151009290912,0.199056328661466,0.834909028445157
"105","CD8 T","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.89663273985121,0.642471081440022,0.199056328661466,0.872664425435823
"106","CD8 T","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",1.61196649791336,0.320318092325787,0.199056328661466,0.783074607911644
"107","CD8 T","NK","IL12B_IL23A","IL23A","IL12RB1_IL23R","IL12RB1",0.236730990930135,0,0.199056328661466,0
"108","CD8 T","NK","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.253758341654867,0.459545030143938,0.199056328661466,0.631747704992432
"109","CD8 T","NK","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.253758341654867,0.838508767564103,0.199056328661466,0.698552797301455
"110","CD8 T","NK","LGALS1","LGALS1","CD69","CD69",0.882561078535798,1.06441671175688,0.199056328661466,0.829617278577199
"111","CD8 T","NK","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR1",0.275706464419614,0.234552940157019,0.199056328661466,0.560926042739246
"112","CD8 T","NK","CD160","CD160","TNFRSF14","TNFRSF14",0.353622781658967,0.658465102896479,0.199056328661466,0.707957205046061
"113","CD8 T","CD8 T","IFNG","IFNG","IFNGR1_IFNGR2","IFNGR1",0.178455210168272,0.31265064799773,0.199056328661466,0.542676954909513
"114","CD8 T","CD8 T","MIF","MIF","CXCR4","CXCR4",1.02395852458354,2.01083647943994,0.199056328661466,0.878177197692916
"115","CD8 T","CD8 T","MIF","MIF","CD74","CD74",1.02395852458354,2.35808831742312,0.199056328661466,0.886444928937071
"116","CD8 T","CD8 T","CD48","CD48","CD2","CD2",1.72764494619042,1.46083169262766,0.199056328661466,0.888652466272176
"117","CD8 T","CD8 T","HLA-DPA1","HLA-DPA1","LAG3","LAG3",0.748288535430375,0.792108112481271,0.199056328661466,0.794563418444173
"118","CD8 T","CD8 T","HLA-DPB1","HLA-DPB1","LAG3","LAG3",1.01034420857265,0.792108112481271,0.199056328661466,0.817989374099454
"119","CD8 T","CD8 T","HLA-DQA1","HLA-DQA1","LAG3","LAG3",0.21776715047501,0.792108112481271,0.199056328661466,0.676005415998734
"120","CD8 T","CD8 T","HLA-DQB1","HLA-DQB1","LAG3","LAG3",0.281350142462406,0.792108112481271,0.199056328661466,0.703404128028162
"121","CD8 T","CD8 T","HLA-DRA","HLA-DRA","LAG3","LAG3",0.746777934675055,0.792108112481271,0.199056328661466,0.794398440864242
"122","CD8 T","CD8 T","HLA-DRB1","HLA-DRB1","LAG3","LAG3",0.89272127469856,0.792108112481271,0.199056328661466,0.808593720675947
"123","CD8 T","CD8 T","HLA-DRB5","HLA-DRB5","LAG3","LAG3",0.548289110389163,0.792108112481271,0.199056328661466,0.76801961661515
"124","CD8 T","CD8 T","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",2.89663273985121,0.251176311438171,0.199056328661466,0.810788505467331
"125","CD8 T","CD8 T","IL12B_IL23A","IL23A","IL12RB1_IL23R","IL12RB1",0.236730990930135,0,0.199056328661466,0
"126","CD8 T","CD8 T","ITGAL_ITGB2","ITGAL","ICAM2","ICAM2",0.253758341654867,0.406658252061046,0.199056328661466,0.617414853686047
"127","CD8 T","CD8 T","ITGAL_ITGB2","ITGAL","ICAM3","ICAM3",0.253758341654867,0.84454655344177,0.199056328661466,0.699307684349738
"128","CD8 T","CD8 T","LGALS1","LGALS1","CD69","CD69",0.882561078535798,0.649958157863072,0.199056328661466,0.791877547794761
"129","CD8 T","CD8 T","TGFB1","TGFB1","TGFBR1_TGFBR2","TGFBR2",0.275706464419614,0.21085677859872,0.199056328661466,0.547771365595473
"130","CD8 T","CD8 T","CD160","CD160","TNFRSF14","TNFRSF14",0.353622781658967,0.294117449009172,0.199056328661466,0.618342080036263
"131","CD8 T","CD8 T","CD47","CD47","SIRPG","SIRPG",0.47210030731106,0.326672902590348,0.199056328661466,0.663624321458914
"132","CD8 T","CD8 T","LGALS3","LGALS3","LAG3","LAG3",0.372451173066512,0.792108112481271,0.199056328661466,0.731807810281419
